,지역,정보공시 학교코드,학교명,설립구분,제외여부,1학년 학생수,2학년 학생수,3학년 학생수,4학년 학생수,5학년 학생수,6학년 학생수,학생수(계),교사수
0,부산광역시 연제구,S000003559,부산교육대학교부설초등학교,국립,N,79,95,95,95,95,95,560,29
1,부산광역시 중구,S020000625,광일초등학교,공립,N,32,43,36,36,49,62,262,17
2,부산광역시 중구,S020000626,남성초등학교,사립,N,90,89,83,69,44,63,438,23
3,부산광역시 남구,S020000628,대남초등학교,공립,N,64,40,67,44,38,56,314,19
4,부산광역시 남구,S020000629,대연초등학교,공립,N,112,130,130,151,152,187,871,48
5,부산광역시 남구,S020000630,대천초등학교,공립,N,75,90,101,86,105,125,591,32
6,부산광역시 동구,S020000632,동일중앙초등학교,공립,N,152,151,174,138,170,151,948,50
7,부산광역시 남구,S020000633,동천초등학교,공립,N,36,47,52,45,59,55,302,18
8,부산광역시 남구,S020000634,동항초등학교,공립,N,22,9,34,18,32,38,156,12
9,부산광역시 남구,S020000635,문현초등학교,공립,N,79,77,101,93,82,95,538,35
10,부산광역시 남구,S020000637,백운초등학교,공립,N,19,28,23,33,42,42,194,13
11,부산광역시 동구,S020000638,범일초등학교,공립,N,28,29,33,31,38,33,200,15
12,부산광역시 중구,S020000639,보수초등학교,공립,N,26,26,24,36,30,20,165,14
13,부산광역시 중구,S020000640,봉래초등학교,공립,N,28,27,32,32,35,42,201,16
14,부산광역시 남구,S020000641,분포초등학교,공립,N,131,155,160,188,177,193,1010,52
15,부산광역시 금정구,S020000642,부산삼육초등학교,사립,N,60,60,64,64,60,28,336,11
16,부산광역시 남구,S020000643,석포초등학교,공립,N,118,96,121,133,89,89,653,39
17,부산광역시 동구,S020000644,성남초등학교,공립,N,105,100,86,103,73,89,559,34
18,부산광역시 남구,S020000645,성동초등학교,공립,N,115,141,128,140,148,143,826,45
19,부산광역시 남구,S020000646,성천초등학교,공립,N,24,25,20,9,17,17,117,12
20,부산광역시 동구,S020000647,수성초등학교,공립,N,17,24,21,29,28,35,157,13
21,부산광역시 동구,S020000648,수정초등학교,공립,N,65,57,68,48,69,81,396,24
22,부산광역시 남구,S020000650,연포초등학교,공립,N,181,215,205,214,215,227,1263,62
23,부산광역시 남구,S020000651,용당초등학교,공립,N,10,13,19,10,25,19,103,11
24,부산광역시 남구,S020000652,용산초등학교,공립,N,41,41,55,54,59,70,326,21
25,부산광역시 남구,S020000654,용호초등학교,공립,N,55,66,76,77,64,92,441,25
26,부산광역시 남구,S020000655,우암초등학교,공립,N,41,37,50,54,51,58,297,18
27,부산광역시 남구,S020000656,운산초등학교,공립,N,89,76,75,81,80,73,480,30
28,부산광역시 동구,S020000660,초량초등학교,공립,N,17,42,25,46,35,47,217,17
29,부산광역시 금정구,S020000800,공덕초등학교,공립,N,7,13,17,7,7,4,56,10
30,부산광역시 동래구,S020000801,교동초등학교,공립,N,127,128,157,150,154,172,894,47
31,부산광역시 금정구,S020000802,구서초등학교,공립,N,50,78,104,83,90,104,515,30
32,부산광역시 동래구,S020000803,금강초등학교,공립,N,106,104,105,103,103,108,641,41
33,부산광역시 금정구,S020000804,금사초등학교,공립,N,40,46,66,40,58,49,310,24
34,부산광역시 금정구,S020000805,금성초등학교,공립,N,10,4,12,4,10,13,54,9
35,부산광역시 금정구,S020000806,금양초등학교,공립,N,84,103,130,133,135,161,757,43
36,부산광역시 금정구,S020000807,금정초등학교,공립,N,149,147,186,159,153,175,977,46
37,부산광역시 동래구,S020000808,낙민초등학교,공립,N,84,104,142,88,102,80,602,33
38,부산광역시 금정구,S020000809,남산초등학교,공립,N,49,61,57,79,67,77,395,23
39,부산광역시 동래구,S020000810,내산초등학교,공립,N,25,35,37,37,38,40,223,17
40,부산광역시 동래구,S020000811,내성초등학교,공립,N,16,18,20,19,26,32,141,14
41,부산광역시 동래구,S020000812,달북초등학교,공립,N,87,97,104,86,91,96,565,29
42,부산광역시 금정구,S020000813,동래초등학교,사립,N,112,112,109,105,91,95,624,23
43,부산광역시 금정구,S020000814,동상초등학교,공립,N,19,13,18,20,22,18,114,9
44,부산광역시 금정구,S020000815,동현초등학교,공립,N,44,57,41,58,50,66,320,21
45,부산광역시 동래구,S020000816,명동초등학교,공립,N,79,86,99,88,84,61,501,29
46,부산광역시 동래구,S020000817,명륜초등학교,공립,N,161,175,210,201,200,240,1193,55
47,부산광역시 동래구,S020000818,명서초등학교,공립,N,10,13,13,24,16,26,108,9
48,부산광역시 동래구,S020000819,명장초등학교,공립,N,57,73,59,60,60,63,379,22
49,부산광역시 동래구,S020000820,미남초등학교,공립,N,33,45,45,47,54,60,292,17
50,부산광역시 금정구,S020000821,부곡초등학교,공립,N,66,74,85,75,73,88,469,27
51,부산광역시 동래구,S020000822,사직초등학교,공립,N,119,139,167,190,181,247,1049,53
52,부산광역시 금정구,S020000824,서동초등학교,공립,N,15,8,13,15,8,11,71,10
53,부산광역시 금정구,S020000825,서명초등학교,공립,N,3,4,10,3,10,5,41,9
54,부산광역시 동래구,S020000826,수안초등학교,공립,N,27,30,32,36,30,50,211,15
55,부산광역시 동래구,S020000827,안남초등학교,공립,N,101,121,136,138,148,156,807,42
56,부산광역시 동래구,S020000828,안락초등학교,공립,N,24,35,36,33,36,46,215,14
57,부산광역시 동래구,S020000829,안민초등학교,공립,N,89,98,120,129,97,149,687,35
58,부산광역시 동래구,S020000830,여고초등학교,공립,N,122,133,185,196,180,236,1058,44
59,부산광역시 동래구,S020000831,온천초등학교,공립,N,143,161,131,175,141,197,960,53
60,부산광역시 금정구,S020000832,장서초등학교,공립,N,92,85,117,115,93,124,633,35
61,부산광역시 금정구,S020000833,장전초등학교,공립,N,51,71,97,74,101,104,505,29
62,부산광역시 금정구,S020000834,청룡초등학교,공립,N,56,59,72,78,82,83,441,27
63,부산광역시 금정구,S020000835,현곡초등학교,공립,N,9,12,20,14,16,19,96,9
64,부산광역시 동래구,S020000836,혜화초등학교,사립,N,60,60,61,58,51,57,347,12
65,부산광역시 부산진구,S020000989,가남초등학교,공립,N,6,13,13,7,7,12,60,9
66,부산광역시 부산진구,S020000990,가산초등학교,공립,N,0,4,8,6,5,10,36,8
67,부산광역시 부산진구,S020000991,가야초등학교,공립,N,147,185,165,178,156,195,1038,55
68,부산광역시 부산진구,S020000992,가평초등학교,공립,N,66,98,102,98,107,108,585,30
69,부산광역시 부산진구,S020000993,개금초등학교,공립,N,72,86,110,131,90,86,582,33
70,부산광역시 부산진구,S020000995,개림초등학교,공립,N,110,121,131,115,141,138,763,38
71,부산광역시 부산진구,S020000996,개원초등학교,공립,N,66,74,80,90,99,94,509,29
72,부산광역시 부산진구,S020000997,개포초등학교,공립,N,30,41,47,53,34,54,262,15
73,부산광역시 부산진구,S020000998,개화초등학교,공립,N,22,22,32,33,43,35,189,13
74,부산광역시 연제구,S020000999,거제초등학교,공립,N,154,126,135,121,89,116,749,41
75,부산광역시 연제구,S020001000,거학초등학교,공립,N,66,96,104,115,99,113,599,32
76,부산광역시 연제구,S020001001,과정초등학교,공립,N,65,87,76,92,74,68,468,26
77,부산광역시 연제구,S020001002,남문초등학교,공립,N,109,157,186,153,208,203,1022,48
78,부산광역시 부산진구,S020001003,당감초등학교,공립,N,24,16,33,37,43,58,214,14
79,부산광역시 부산진구,S020001004,당평초등학교,공립,N,35,30,47,46,41,70,278,16
80,부산광역시 연제구,S020001005,동명초등학교,공립,N,21,25,26,34,30,37,180,16
81,부산광역시 부산진구,S020001006,동성초등학교,사립,N,112,113,128,127,123,119,722,25
82,부산광역시 부산진구,S020001007,동원초등학교,공립,N,66,79,94,91,97,123,555,30
83,부산광역시 부산진구,S020001008,동평초등학교,공립,N,79,90,82,83,68,85,493,30
84,부산광역시 부산진구,S020001010,부산진초등학교,공립,N,79,85,74,69,74,82,472,29
85,부산광역시 부산진구,S020001011,부암초등학교,공립,N,116,125,114,132,114,111,724,41
86,부산광역시 부산진구,S020001012,부전초등학교,공립,N,57,65,58,65,51,55,357,22
87,부산광역시 부산진구,S020001013,선암초등학교,공립,N,25,24,17,13,12,16,113,12
88,부산광역시 부산진구,S020001014,성북초등학교,공립,N,116,109,126,103,106,109,681,42
89,부산광역시 부산진구,S020001015,성서초등학교,공립,N,32,28,25,33,31,38,193,15
90,부산광역시 부산진구,S020001016,성전초등학교,공립,N,68,77,71,71,71,75,440,25
91,부산광역시 부산진구,S020001017,성지초등학교,공립,N,55,91,76,98,79,73,483,28
92,부산광역시 부산진구,S020001018,양동초등학교,공립,N,179,210,162,161,93,106,924,45
93,부산광역시 부산진구,S020001019,양성초등학교,공립,N,50,47,56,69,71,89,389,24
94,부산광역시 부산진구,S020001020,양정초등학교,공립,N,78,93,111,116,89,110,608,40
95,부산광역시 연제구,S020001021,연동초등학교,공립,N,66,72,94,76,104,107,524,33
96,부산광역시 연제구,S020001022,연미초등학교,공립,N,51,60,51,43,32,43,286,18
97,부산광역시 연제구,S020001023,연산초등학교,공립,N,128,154,150,130,135,146,855,47
98,부산광역시 연제구,S020001024,연서초등학교,공립,N,89,107,113,131,117,109,672,37
99,부산광역시 연제구,S020001025,연신초등학교,공립,N,92,129,110,116,94,112,659,36
100,부산광역시 연제구,S020001026,연일초등학교,공립,N,12,19,16,20,15,26,113,11
101,부산광역시 연제구,S020001027,연제초등학교,공립,N,65,69,92,75,92,74,475,28
102,부산광역시 부산진구,S020001028,연지초등학교,공립,N,205,240,236,214,201,210,1314,66
103,부산광역시 연제구,S020001029,연천초등학교,공립,N,79,105,105,100,107,117,619,33
104,부산광역시 부산진구,S020001030,연학초등학교,공립,N,61,81,64,73,39,60,382,20
105,부산광역시 부산진구,S020001031,전포초등학교,공립,N,69,67,52,64,59,72,392,24
106,부산광역시 부산진구,S020001032,주례초등학교,공립,N,48,40,62,47,48,77,331,21
107,부산광역시 부산진구,S020001033,주원초등학교,공립,N,11,15,16,15,14,23,99,9
108,부산광역시 연제구,S020001034,창신초등학교,공립,N,278,263,259,265,257,259,1589,74
109,부산광역시 부산진구,S020001035,초읍초등학교,공립,N,54,54,71,63,79,103,428,29
110,부산광역시 연제구,S020001036,토현초등학교,공립,N,38,38,44,54,54,74,306,20
111,부산광역시 강서구,S020001235,가락초등학교,공립,N,4,4,7,4,2,18,41,9
112,부산광역시 사상구,S020001237,감전초등학교,공립,N,17,23,22,24,19,26,134,13
113,부산광역시 사상구,S020001238,괘법초등학교,공립,N,6,12,5,10,7,12,56,9
114,부산광역시 북구,S020001239,구남초등학교,공립,N,44,58,80,78,78,93,437,28
115,부산광역시 북구,S020001240,구포초등학교,공립,N,91,117,93,84,59,88,551,35
116,부산광역시 사상구,S020001241,구학초등학교,공립,N,63,60,76,72,97,108,482,28
117,부산광역시 북구,S020001242,금곡초등학교,공립,N,50,42,52,44,49,64,306,18
118,부산광역시 북구,S020001243,금창초등학교,공립,N,6,28,17,30,25,30,142,13
119,부산광역시 강서구,S020001244,녹명초등학교,공립,N,35,21,24,17,17,24,143,13
120,부산광역시 강서구,S020001246,대사초등학교,공립,N,1,5,2,1,3,5,19,9
121,부산광역시 강서구,S020001247,대상초등학교,공립,N,9,3,11,5,3,7,38,8
122,부산광역시 강서구,S020001250,대저초등학교,공립,N,8,7,5,4,8,10,46,9
123,부산광역시 북구,S020001251,대천리초등학교,공립,N,25,38,46,40,37,46,241,16
124,부산광역시 강서구,S020001253,덕두초등학교,공립,N,32,39,32,36,36,38,217,16
125,부산광역시 사상구,S020001254,덕상초등학교,공립,N,56,56,92,63,75,89,432,25
126,부산광역시 북구,S020001255,덕성초등학교,공립,N,56,57,52,52,44,65,331,22
127,부산광역시 북구,S020001256,덕양초등학교,공립,N,47,53,64,62,75,58,367,23
128,부산광역시 북구,S020001257,덕천초등학교,공립,N,8,16,14,12,21,21,98,9
129,부산광역시 사상구,S020001258,덕포초등학교,공립,N,28,27,28,20,16,29,148,13
130,부산광역시 사상구,S020001259,동궁초등학교,공립,N,70,68,109,88,82,105,528,33
131,부산광역시 사상구,S020001260,동주초등학교,공립,N,58,66,87,80,80,104,481,29
132,부산광역시 북구,S020001261,만덕초등학교,공립,N,80,77,60,60,71,70,425,24
133,부산광역시 북구,S020001262,명덕초등학교,공립,N,95,115,129,113,111,139,708,39
134,부산광역시 강서구,S020001263,명지초등학교,공립,N,241,251,233,266,194,221,1413,68
135,부산광역시 사상구,S020001264,모덕초등학교,공립,N,82,85,108,115,121,136,658,37
136,부산광역시 사상구,S020001265,모동초등학교,공립,N,7,4,7,8,14,15,61,8
137,부산광역시 사상구,S020001266,모라초등학교,공립,N,17,10,22,30,19,36,146,13
138,부산광역시 사상구,S020001267,모산초등학교,공립,N,51,45,52,45,47,47,293,16
139,부산광역시 강서구,S020001268,배영초등학교,공립,N,2,3,7,9,13,14,51,8
140,부산광역시 북구,S020001269,백산초등학교,공립,N,90,88,102,96,113,126,621,33
141,부산광역시 북구,S020001270,백양초등학교,공립,N,173,159,172,150,146,157,969,50
142,부산광역시 사상구,S020001271,사상초등학교,공립,N,66,48,53,71,48,41,338,21
143,부산광역시 사상구,S020001273,삼덕초등학교,공립,N,16,12,17,18,25,15,106,10
144,부산광역시 사상구,S020001275,서감초등학교,공립,N,14,22,16,23,18,26,125,12
145,부산광역시 북구,S020001279,신금초등학교,공립,N,34,44,52,37,55,49,277,20
146,부산광역시 북구,S020001280,신천초등학교,공립,N,21,31,29,21,39,34,183,16
147,부산광역시 강서구,S020001281,신호초등학교,공립,N,61,82,74,95,77,93,487,27
148,부산광역시 북구,S020001282,양덕초등학교,공립,N,30,22,20,30,31,28,167,13
149,부산광역시 북구,S020001283,양천초등학교,공립,N,15,14,21,21,20,28,128,12
150,부산광역시 사상구,S020001284,엄궁초등학교,공립,N,80,95,108,108,126,122,647,40
151,부산광역시 북구,S020001285,와석초등학교,공립,N,75,83,97,84,96,69,509,30
152,부산광역시 북구,S020001286,용수초등학교,공립,N,100,129,135,140,145,132,791,45
153,부산광역시 사상구,S020001287,주감초등학교,공립,N,86,108,108,100,95,116,624,34
154,부산광역시 사상구,S020001288,주학초등학교,공립,N,9,7,6,5,12,10,51,9
155,부산광역시 사상구,S020001289,창진초등학교,공립,N,63,70,86,65,62,72,422,26
156,부산광역시 강서구,S020001290,천가초등학교,공립,N,5,14,11,9,12,5,61,9
157,부산광역시 북구,S020001294,포천초등학교,공립,N,46,53,81,65,106,95,455,28
158,부산광역시 사상구,S020001295,학장초등학교,공립,N,30,36,31,35,34,32,200,15
159,부산광역시 사상구,S020001296,학진초등학교,공립,N,72,66,79,78,88,111,504,30
160,부산광역시 북구,S020001297,화명초등학교,공립,N,103,86,118,73,62,79,533,31
161,부산광역시 사하구,S020001447,감천초등학교,공립,N,11,16,14,11,24,35,115,10
162,부산광역시 사하구,S020001448,괴정초등학교,공립,N,84,110,79,96,89,85,552,30
163,부산광역시 서구,S020001449,구덕초등학교,공립,N,59,66,88,81,81,77,455,24
164,부산광역시 사하구,S020001450,구평초등학교,공립,N,134,142,115,101,98,131,723,38
165,부산광역시 사하구,S020001451,낙동초등학교,공립,N,108,137,183,152,141,183,914,48
166,부산광역시 서구,S020001452,남부민초등학교,공립,N,11,15,16,18,25,17,106,9
167,부산광역시 영도구,S020001453,남항초등학교,공립,N,30,21,33,40,20,56,202,17
168,부산광역시 사하구,S020001454,다대초등학교,공립,N,105,113,100,113,126,136,704,40
169,부산광역시 사하구,S020001455,다선초등학교,공립,N,84,87,105,82,101,102,568,33
170,부산광역시 사하구,S020001456,다송초등학교,공립,N,13,23,27,28,30,45,172,13
171,부산광역시 사하구,S020001457,당리초등학교,공립,N,25,12,32,23,21,39,160,14
172,부산광역시 영도구,S020001458,대교초등학교,공립,N,61,78,68,49,54,57,373,23
173,부산광역시 서구,S020001459,대신초등학교,공립,N,102,152,124,127,120,132,762,38
174,부산광역시 영도구,S020001460,대평초등학교,공립,N,22,40,45,35,43,47,238,17
175,부산광역시 영도구,S020001461,동삼초등학교,공립,N,75,75,71,75,65,64,430,24
176,부산광역시 서구,S020001462,동신초등학교,공립,N,39,51,50,65,58,73,339,19
177,부산광역시 영도구,S020001463,봉삼초등학교,공립,N,1,6,4,7,5,11,39,10
178,부산광역시 영도구,S020001464,봉학초등학교,공립,N,31,31,25,21,30,32,174,14
179,부산광역시 서구,S020001465,부민초등학교,공립,N,84,84,114,114,105,131,638,35
180,부산광역시 사하구,S020001466,사남초등학교,공립,N,75,58,64,44,53,38,337,18
181,부산광역시 사하구,S020001467,사동초등학교,공립,N,25,28,47,37,42,54,238,15
182,부산광역시 사하구,S020001468,사하초등학교,공립,N,112,148,169,160,158,197,949,49
183,부산광역시 영도구,S020001469,상리초등학교,공립,N,9,13,23,23,21,28,120,11
184,부산광역시 사하구,S020001470,서천초등학교,공립,N,17,17,19,33,31,34,155,12
185,부산광역시 서구,S020001471,송도초등학교,공립,N,68,80,75,81,79,74,464,28
186,부산광역시 사하구,S020001472,승학초등학교,공립,N,22,42,43,54,37,59,264,16
187,부산광역시 사하구,S020001473,신남초등학교,공립,N,67,61,72,87,80,82,458,29
188,부산광역시 영도구,S020001474,신선초등학교,공립,N,2,4,2,2,10,7,29,9
189,부산광역시 사하구,S020001475,신촌초등학교,공립,N,9,12,14,16,15,22,94,9
190,부산광역시 사하구,S020001476,신평초등학교,공립,N,79,83,103,79,86,79,514,32
191,부산광역시 서구,S020001477,아미초등학교,공립,N,5,3,6,6,5,3,32,9
192,부산광역시 영도구,S020001478,영도초등학교,공립,N,39,35,33,40,53,51,256,17
193,부산광역시 사하구,S020001480,옥천초등학교,공립,N,65,80,78,84,101,124,538,29
194,부산광역시 사하구,S020001481,응봉초등학교,공립,N,21,18,20,27,30,43,164,12
195,부산광역시 사하구,S020001482,장림초등학교,공립,N,79,79,96,90,96,98,551,33
196,부산광역시 영도구,S020001483,절영초등학교,공립,N,7,12,12,9,11,9,63,10
197,부산광역시 영도구,S020001484,중리초등학교,공립,N,60,80,93,96,107,126,567,31
198,부산광역시 사하구,S020001486,중현초등학교,공립,N,46,53,62,61,69,87,384,22
199,부산광역시 서구,S020001487,천마초등학교,공립,N,12,24,18,15,11,29,115,13
200,부산광역시 영도구,S020001488,청동초등학교,공립,N,68,65,76,72,84,89,462,29
201,부산광역시 영도구,S020001489,청학초등학교,공립,N,19,31,27,28,41,35,183,14
202,부산광역시 영도구,S020001491,태종대초등학교,공립,N,12,18,7,24,24,12,101,10
203,부산광역시 서구,S020001492,토성초등학교,공립,N,51,64,73,81,78,77,431,27
204,부산광역시 사하구,S020001493,하남초등학교,공립,N,90,82,120,110,113,115,641,38
205,부산광역시 사하구,S020001494,하단초등학교,공립,N,35,46,49,43,65,63,311,19
206,부산광역시 서구,S020001495,화랑초등학교,공립,N,28,35,38,26,26,28,185,14
207,부산광역시 사하구,S020001496,효림초등학교,공립,N,93,85,87,105,90,130,594,35
208,부산광역시 해운대구,S020001645,강동초등학교,공립,N,117,116,142,141,123,143,791,42
209,부산광역시 수영구,S020001646,광남초등학교,공립,N,88,85,117,106,120,130,651,35
210,부산광역시 수영구,S020001647,광안초등학교,공립,N,96,115,126,115,124,140,730,38
211,부산광역시 기장군,S020001648,교리초등학교,공립,N,83,94,85,112,92,114,584,32
212,부산광역시 기장군,S020001649,기장초등학교,공립,N,63,82,77,74,96,106,504,30
213,부산광역시 수영구,S020001650,남천초등학교,공립,N,151,148,160,150,139,123,883,49
214,부산광역시 기장군,S020001651,용암초등학교,공립,N,20,15,7,13,12,9,81,9
215,부산광역시 기장군,S020001652,대청초등학교,공립,N,73,72,76,78,82,96,484,29
216,부산광역시 해운대구,S020001653,동백초등학교,공립,N,100,118,109,130,105,116,685,38
217,부산광역시 수영구,S020001654,망미초등학교,공립,N,50,59,73,77,81,95,442,28
218,부산광역시 수영구,S020001655,민락초등학교,공립,N,107,112,107,116,83,116,647,35
219,부산광역시 수영구,S020001656,민안초등학교,공립,N,61,67,79,58,60,57,390,24
220,부산광역시 해운대구,S020001657,반산초등학교,공립,N,33,51,53,53,74,79,354,25
221,부산광역시 해운대구,S020001658,반석초등학교,공립,N,9,12,8,12,10,17,71,10
222,부산광역시 해운대구,S020001659,반송초등학교,공립,N,14,11,21,27,24,32,135,15
223,부산광역시 해운대구,S020001660,반안초등학교,공립,N,80,62,96,89,113,107,552,33
224,부산광역시 해운대구,S020001661,반여초등학교,공립,N,26,28,28,40,27,52,217,18
225,부산광역시 수영구,S020001662,배산초등학교,공립,N,69,93,99,97,82,88,540,29
226,부산광역시 해운대구,S020001663,부흥초등학교,공립,N,97,114,124,140,128,183,788,40
227,부산광역시 해운대구,S020001664,상당초등학교,공립,N,99,117,151,122,134,144,774,38
228,부산광역시 해운대구,S020001665,송운초등학교,공립,N,47,54,56,54,55,61,333,21
229,부산광역시 해운대구,S020001666,송정초등학교,공립,N,22,34,41,48,52,52,256,18
230,부산광역시 수영구,S020001667,수미초등학교,공립,N,47,83,77,74,83,91,467,30
231,부산광역시 수영구,S020001668,수영초등학교,공립,N,86,106,110,121,153,154,743,42
232,부산광역시 해운대구,S020001669,신곡초등학교,공립,N,57,84,85,93,85,120,530,30
233,부산광역시 해운대구,S020001670,신도초등학교,공립,N,80,92,111,83,106,111,590,33
234,부산광역시 해운대구,S020001671,신재초등학교,공립,N,50,56,75,46,69,58,361,22
235,부산광역시 기장군,S020001672,신진초등학교,공립,N,24,35,28,33,30,35,189,15
236,부산광역시 해운대구,S020001673,양운초등학교,공립,N,34,60,50,58,86,63,358,23
237,부산광역시 해운대구,S020001674,운봉초등학교,공립,N,9,19,19,27,23,28,133,15
238,부산광역시 해운대구,S020001675,운송초등학교,공립,N,7,21,12,11,15,15,85,8
239,부산광역시 기장군,S020001676,월내초등학교,공립,N,22,27,29,26,27,24,160,15
240,부산광역시 기장군,S020001677,월평초등학교,공립,N,15,9,9,9,11,15,73,9
241,부산광역시 해운대구,S020001680,장산초등학교,공립,N,93,89,136,130,132,143,730,40
242,부산광역시 기장군,S020001681,장안초등학교,공립,N,10,14,9,9,11,8,61,9
243,부산광역시 해운대구,S020001682,재송초등학교,공립,N,51,62,61,76,63,87,411,25
244,부산광역시 기장군,S020001683,정관초등학교,공립,N,182,226,216,247,219,231,1327,59
245,부산광역시 해운대구,S020001684,좌동초등학교,공립,N,58,65,59,77,84,111,461,29
246,부산광역시 해운대구,S020001685,좌산초등학교,공립,N,67,79,85,69,97,79,481,26
247,부산광역시 기장군,S020001686,좌천초등학교,공립,N,9,10,9,9,3,11,57,8
248,부산광역시 기장군,S020001687,죽성초등학교,공립,N,14,16,14,17,5,9,79,10
249,부산광역시 기장군,S020001688,철마초등학교,공립,N,17,16,16,17,13,21,100,9
250,부산광역시 기장군,S020001689,칠암초등학교,공립,N,10,12,9,10,8,7,62,10
251,부산광역시 해운대구,S020001690,해강초등학교,공립,N,112,118,143,131,133,124,767,40
252,부산광역시 해운대구,S020001691,해동초등학교,공립,N,28,54,55,57,68,84,349,22
253,부산광역시 해운대구,S020001692,해림초등학교,공립,N,130,182,162,148,180,173,979,49
254,부산광역시 해운대구,S020001693,해송초등학교,공립,N,97,98,124,118,105,123,671,38
255,부산광역시 해운대구,S020001694,해운대초등학교,공립,N,165,169,186,171,156,152,1004,49
256,부산광역시 수영구,S020001695,호암초등학교,공립,N,78,85,90,90,64,82,496,28
257,부산광역시 동래구,S020001814,충렬초등학교,공립,N,14,17,19,24,20,31,128,10
258,부산광역시 북구,S020001826,금명초등학교,공립,N,61,70,87,93,95,98,510,28
259,부산광역시 북구,S020001840,명진초등학교,공립,N,84,89,109,116,86,127,614,35
260,부산광역시 북구,S020001841,학사초등학교,공립,N,78,61,61,80,85,73,442,25
261,부산광역시 북구,S020001842,화잠초등학교,공립,N,70,76,80,74,65,74,446,25
262,부산광역시 해운대구,S020001843,인지초등학교,공립,N,54,82,96,85,114,118,555,33
263,부산광역시 남구,S020001867,용문초등학교,공립,N,116,131,162,150,157,188,904,45
264,부산광역시 사하구,S020001870,을숙도초등학교,공립,N,70,92,108,105,105,122,610,35
265,부산광역시 금정구,S020001872,금샘초등학교,공립,N,20,26,31,23,29,32,168,17
266,부산광역시 북구,S020001873,신덕초등학교,공립,N,33,41,47,43,38,57,269,19
267,부산광역시 북구,S020001874,상학초등학교,공립,N,48,46,49,43,38,35,263,15
268,부산광역시 부산진구,S020001890,동양초등학교,공립,N,32,25,37,30,35,57,220,16
269,부산광역시 사하구,S020001891,보림초등학교,공립,N,77,79,79,87,79,105,524,33
270,부산광역시 해운대구,S020001892,무정초등학교,공립,N,66,68,51,69,57,74,393,26
271,부산광역시 금정구,S020001902,두실초등학교,공립,N,125,126,123,126,145,141,793,41
272,부산광역시 동래구,S020001903,안진초등학교,공립,N,45,66,81,83,61,86,428,22
273,부산광역시 해운대구,S020001904,삼어초등학교,공립,N,38,48,52,54,56,54,307,20
274,부산광역시 해운대구,S020001905,센텀초등학교,공립,N,195,204,236,263,241,306,1449,66
275,부산광역시 해운대구,S020001906,송수초등학교,공립,N,123,136,151,184,166,151,917,45
276,부산광역시 사상구,S020001912,주양초등학교,공립,N,40,52,52,50,60,61,320,24
277,부산광역시 동래구,S020001917,예원초등학교,공립,N,105,148,152,158,148,219,935,46
278,부산광역시 사하구,S020001997,몰운대초등학교,공립,N,112,115,162,146,137,168,846,45
279,부산광역시 남구,S020002001,오륙도초등학교,공립,N,63,82,92,76,92,109,514,27
280,부산광역시 기장군,S020002003,내리초등학교,공립,N,23,31,25,33,16,19,150,14
281,부산광역시 강서구,S020002006,명호초등학교,공립,N,187,238,264,279,261,277,1515,74
282,부산광역시 기장군,S020002010,신정초등학교,공립,N,87,105,140,129,121,151,741,40
283,부산광역시 기장군,S020002016,달산초등학교,공립,N,91,107,110,105,104,127,651,32
284,부산광역시 강서구,S020002041,남명초등학교,공립,N,109,123,156,138,118,144,796,43
285,부산광역시 남구,S020002045,용소초등학교,공립,N,138,194,191,204,202,215,1148,52
286,부산광역시 기장군,S020002053,방곡초등학교,공립,N,135,158,206,196,172,212,1087,54
287,부산광역시 강서구,S020002054,녹산초등학교,공립,N,169,196,201,208,201,192,1179,59
288,부산광역시 해운대구,S020002055,해원초등학교,공립,N,166,181,196,176,172,209,1104,54
289,부산광역시 동래구,S020002066,온샘초등학교,공립,N,250,259,244,200,183,153,1295,55
290,부산광역시 기장군,S020002071,정원초등학교,공립,N,133,163,187,203,219,245,1157,58
291,부산광역시 서구,S020002091,부산알로이시오초등학교,사립,N,9,8,8,3,6,6,42,10
292,부산광역시 금정구,S020002149,금빛초등학교,공립,N,117,111,133,112,124,135,739,38
293,부산광역시 북구,S020002177,화정초등학교,공립,N,97,122,131,132,111,123,720,37
294,부산광역시 기장군,S020002182,모전초등학교,공립,N,195,269,270,298,279,278,1589,76
295,부산광역시 기장군,S020002198,가동초등학교,공립,N,128,140,164,194,181,185,1000,53
296,부산광역시 강서구,S020002202,송정초등학교,공립,N,120,129,148,137,126,122,794,42
297,부산광역시 강서구,S020002213,오션초등학교,공립,N,137,172,221,183,183,180,1090,57
298,부산광역시 강서구,S020002232,신명초등학교,공립,N,149,192,205,188,212,219,1177,61
299,부산광역시 강서구,S020002257,명일초등학교,공립,N,157,164,146,152,140,113,885,47
300,부산광역시 강서구,S020002276,명원초등학교,공립,N,230,224,247,243,239,231,1422,69
301,부산광역시 기장군,S020002277,일광초등학교,공립,N,187,174,191,178,178,176,1090,53
302,부산광역시 기장군,S020002312,해빛초등학교,공립,N,156,194,180,179,143,129,988,46
303,부산광역시 강서구,S020002361,명문초등학교,공립,N,245,232,202,153,118,64,1022,45
