"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 연제구","S000003559","부산교육대학교부설초등학교","02","국립","N","","4","79","19.8","4","95","23.8","4","95","23.8","4","95","23.8","4","95","23.8","4","95","23.8","1","6","6","0","0","0","25","560","22.4","29","19.3"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 중구","S020000625","광일초등학교","02","공립","N","","2","32","16","2","43","21.5","2","36","18","2","36","18","2","49","24.5","3","62","20.7","1","4","4","0","0","0","14","262","18.7","17","15.4"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 중구","S020000626","남성초등학교","02","사립","N","","3","90","30","3","89","29.7","3","83","27.7","3","69","23","2","44","22","3","63","21","0","0","0","0","0","0","17","438","25.8","23","19"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000628","대남초등학교","02","공립","N","","3","64","21.3","2","40","20","3","67","22.3","2","44","22","2","38","19","3","56","18.7","1","5","5","0","0","0","16","314","19.6","19","16.5"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000629","대연초등학교","02","공립","N","","5","112","22.4","5","130","26","6","130","21.7","6","151","25.2","7","152","21.7","8","187","23.4","2","9","4.5","0","0","0","39","871","22.3","48","18.1"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000630","대천초등학교","02","공립","N","","3","75","25","4","90","22.5","5","101","20.2","4","86","21.5","4","105","26.3","5","125","25","2","9","4.5","0","0","0","27","591","21.9","32","18.5"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 동구","S020000632","동일중앙초등학교","02","공립","N","","7","152","21.7","6","151","25.2","7","174","24.9","6","138","23","7","170","24.3","6","151","25.2","2","12","6","0","0","0","41","948","23.1","50","19"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000633","동천초등학교","02","공립","N","","2","36","18","2","47","23.5","2","52","26","2","45","22.5","3","59","19.7","3","55","18.3","2","8","4","0","0","0","16","302","18.9","18","16.8"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000634","동항초등학교","02","공립","N","","1","22","22","1","9","9","2","34","17","1","18","18","2","32","16","2","38","19","1","3","3","0","0","0","10","156","15.6","12","13"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000635","문현초등학교","02","공립","N","","4","79","19.8","4","77","19.3","5","101","20.2","5","93","18.6","4","82","20.5","5","95","19","2","11","5.5","0","0","0","29","538","18.6","35","15.4"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000637","백운초등학교","02","공립","N","","1","19","19","2","28","14","1","23","23","2","33","16.5","2","42","21","2","42","21","1","7","7","0","0","0","11","194","17.6","13","14.9"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 동구","S020000638","범일초등학교","02","공립","N","","2","28","14","2","29","14.5","2","33","16.5","2","31","15.5","2","38","19","2","33","16.5","1","8","8","0","0","0","13","200","15.4","15","13.3"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 중구","S020000639","보수초등학교","02","공립","N","","2","26","13","2","26","13","1","24","24","2","36","18","2","30","15","1","20","20","1","3","3","0","0","0","11","165","15","14","11.8"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 중구","S020000640","봉래초등학교","02","공립","N","","2","28","14","2","27","13.5","2","32","16","2","32","16","2","35","17.5","2","42","21","1","5","5","0","0","0","13","201","15.5","16","12.6"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000641","분포초등학교","02","공립","N","","5","131","26.2","7","155","22.1","7","160","22.9","7","188","26.9","7","177","25.3","8","193","24.1","1","6","6","0","0","0","42","1010","24","52","19.4"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 금정구","S020000642","부산삼육초등학교","02","사립","N","","2","60","30","2","60","30","2","64","32","2","64","32","2","60","30","1","28","28","0","0","0","0","0","0","11","336","30.5","11","30.5"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000643","석포초등학교","02","공립","N","","6","118","19.7","5","96","19.2","6","121","20.2","6","133","22.2","5","89","17.8","5","89","17.8","2","7","3.5","0","0","0","35","653","18.7","39","16.7"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 동구","S020000644","성남초등학교","02","공립","N","","5","105","21","5","100","20","4","86","21.5","5","103","20.6","4","73","18.3","4","89","22.3","1","3","3","0","0","0","28","559","20","34","16.4"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000645","성동초등학교","02","공립","N","","5","115","23","6","141","23.5","6","128","21.3","6","140","23.3","6","148","24.7","6","143","23.8","2","11","5.5","0","0","0","37","826","22.3","45","18.4"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000646","성천초등학교","02","공립","N","","2","24","12","2","25","12.5","2","20","10","1","9","9","1","17","17","1","17","17","1","5","5","0","0","0","10","117","11.7","12","9.8"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 동구","S020000647","수성초등학교","02","공립","N","","1","17","17","2","24","12","1","21","21","2","29","14.5","2","28","14","2","35","17.5","1","3","3","0","0","0","11","157","14.3","13","12.1"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 동구","S020000648","수정초등학교","02","공립","N","","3","65","21.7","3","57","19","3","68","22.7","2","48","24","3","69","23","4","81","20.3","2","8","4","0","0","0","20","396","19.8","24","16.5"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000650","연포초등학교","02","공립","N","","8","181","22.6","8","215","26.9","8","205","25.6","8","214","26.8","9","215","23.9","9","227","25.2","1","6","6","0","0","0","51","1263","24.8","62","20.4"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000651","용당초등학교","02","공립","N","","1","10","10","1","13","13","1","19","19","1","10","10","2","25","12.5","1","19","19","2","7","3.5","0","0","0","9","103","11.4","11","9.4"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000652","용산초등학교","02","공립","N","","2","41","20.5","2","41","20.5","3","55","18.3","3","54","18","3","59","19.7","3","70","23.3","1","6","6","0","0","0","17","326","19.2","21","15.5"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000654","용호초등학교","02","공립","N","","3","55","18.3","3","66","22","3","76","25.3","3","77","25.7","3","64","21.3","4","92","23","2","11","5.5","0","0","0","21","441","21","25","17.6"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000655","우암초등학교","02","공립","N","","2","41","20.5","2","37","18.5","2","50","25","3","54","18","2","51","25.5","3","58","19.3","1","6","6","0","0","0","15","297","19.8","18","16.5"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000656","운산초등학교","02","공립","N","","4","89","22.3","4","76","19","3","75","25","4","81","20.3","4","80","20","4","73","18.3","1","6","6","0","0","0","24","480","20","30","16"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 동구","S020000660","초량초등학교","02","공립","N","","1","17","17","3","42","14","2","25","12.5","2","46","23","3","35","11.7","2","47","23.5","1","5","5","0","0","0","14","217","15.5","17","12.8"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 금정구","S020000800","공덕초등학교","02","공립","N","","1","7","7","1","13","13","2","17","8.5","1","7","7","1","7","7","1","4","4","1","1","1","0","0","0","8","56","7","10","5.6"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 동래구","S020000801","교동초등학교","02","공립","N","","6","127","21.2","6","128","21.3","7","157","22.4","6","150","25","6","154","25.7","7","172","24.6","1","6","6","0","0","0","39","894","22.9","47","19"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 금정구","S020000802","구서초등학교","02","공립","N","","3","50","16.7","4","78","19.5","4","104","26","4","83","20.8","4","90","22.5","5","104","20.8","1","6","6","0","0","0","25","515","20.6","30","17.2"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 동래구","S020000803","금강초등학교","02","공립","N","","5","106","21.2","5","104","20.8","6","105","17.5","6","103","17.2","5","103","20.6","6","108","18","2","12","6","0","0","0","35","641","18.3","41","15.6"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 금정구","S020000804","금사초등학교","02","공립","N","","2","40","20","3","46","15.3","3","66","22","2","40","20","3","58","19.3","3","49","16.3","3","11","3.7","0","0","0","19","310","16.3","24","12.9"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 금정구","S020000805","금성초등학교","02","공립","N","","1","10","10","1","4","4","1","12","12","1","4","4","1","10","10","1","13","13","1","1","1","0","0","0","7","54","7.7","9","6"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 금정구","S020000806","금양초등학교","02","공립","N","","4","84","21","5","103","20.6","6","130","21.7","6","133","22.2","6","135","22.5","7","161","23","2","11","5.5","0","0","0","36","757","21","43","17.6"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 금정구","S020000807","금정초등학교","02","공립","N","","6","149","24.8","6","147","24.5","7","186","26.6","6","159","26.5","6","153","25.5","7","175","25","1","8","8","0","0","0","39","977","25.1","46","21.2"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 동래구","S020000808","낙민초등학교","02","공립","N","","4","84","21","5","104","20.8","6","142","23.7","4","88","22","4","102","25.5","4","80","20","1","2","2","0","0","0","28","602","21.5","33","18.2"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 금정구","S020000809","남산초등학교","02","공립","N","","2","49","24.5","3","61","20.3","3","57","19","4","79","19.8","3","67","22.3","4","77","19.3","1","5","5","0","0","0","20","395","19.8","23","17.2"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 동래구","S020000810","내산초등학교","02","공립","N","","2","25","12.5","2","35","17.5","2","37","18.5","2","37","18.5","2","38","19","2","40","20","2","11","5.5","0","0","0","14","223","15.9","17","13.1"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 동래구","S020000811","내성초등학교","02","공립","N","","1","16","16","1","18","18","1","20","20","1","19","19","2","26","13","2","32","16","2","10","5","0","0","0","10","141","14.1","14","10.1"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 동래구","S020000812","달북초등학교","02","공립","N","","4","87","21.8","4","97","24.3","5","104","20.8","4","86","21.5","4","91","22.8","4","96","24","1","4","4","0","0","0","26","565","21.7","29","19.5"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 금정구","S020000813","동래초등학교","02","사립","N","","4","112","28","4","112","28","4","109","27.3","4","105","26.3","3","91","30.3","3","95","31.7","0","0","0","0","0","0","22","624","28.4","23","27.1"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 금정구","S020000814","동상초등학교","02","공립","N","","1","19","19","1","13","13","1","18","18","1","20","20","1","22","22","1","18","18","1","4","4","0","0","0","7","114","16.3","9","12.7"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 금정구","S020000815","동현초등학교","02","공립","N","","2","44","22","3","57","19","2","41","20.5","3","58","19.3","3","50","16.7","3","66","22","1","4","4","0","0","0","17","320","18.8","21","15.2"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 동래구","S020000816","명동초등학교","02","공립","N","","4","79","19.8","4","86","21.5","4","99","24.8","4","88","22","4","84","21","3","61","20.3","1","4","4","0","0","0","24","501","20.9","29","17.3"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 동래구","S020000817","명륜초등학교","02","공립","N","","7","161","23","7","175","25","7","210","30","8","201","25.1","8","200","25","9","240","26.7","1","6","6","0","0","0","47","1193","25.4","55","21.7"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 동래구","S020000818","명서초등학교","02","공립","N","","1","10","10","1","13","13","1","13","13","1","24","24","1","16","16","1","26","26","1","6","6","0","0","0","7","108","15.4","9","12"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 동래구","S020000819","명장초등학교","02","공립","N","","3","57","19","3","73","24.3","3","59","19.7","3","60","20","3","60","20","3","63","21","1","7","7","0","0","0","19","379","19.9","22","17.2"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 동래구","S020000820","미남초등학교","02","공립","N","","2","33","16.5","2","45","22.5","2","45","22.5","2","47","23.5","3","54","18","3","60","20","2","8","4","0","0","0","16","292","18.3","17","17.2"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 금정구","S020000821","부곡초등학교","02","공립","N","","3","66","22","4","74","18.5","4","85","21.3","3","75","25","3","73","24.3","4","88","22","1","8","8","0","0","0","22","469","21.3","27","17.4"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 동래구","S020000822","사직초등학교","02","공립","N","","5","119","23.8","6","139","23.2","7","167","23.9","8","190","23.8","7","181","25.9","10","247","24.7","1","6","6","0","0","0","44","1049","23.8","53","19.8"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 금정구","S020000824","서동초등학교","02","공립","N","","1","15","15","1","8","8","1","13","13","1","15","15","1","8","8","1","11","11","1","1","1","0","0","0","7","71","10.1","10","7.1"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 금정구","S020000825","서명초등학교","02","공립","N","","1","3","3","1","4","4","1","10","10","1","3","3","1","10","10","1","5","5","1","6","6","0","0","0","7","41","5.9","9","4.6"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 동래구","S020000826","수안초등학교","02","공립","N","","2","27","13.5","2","30","15","2","32","16","2","36","18","2","30","15","2","50","25","1","6","6","0","0","0","13","211","16.2","15","14.1"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 동래구","S020000827","안남초등학교","02","공립","N","","4","101","25.3","5","121","24.2","6","136","22.7","5","138","27.6","6","148","24.7","7","156","22.3","1","7","7","0","0","0","34","807","23.7","42","19.2"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 동래구","S020000828","안락초등학교","02","공립","N","","1","24","24","2","35","17.5","2","36","18","2","33","16.5","2","36","18","2","46","23","1","5","5","0","0","0","12","215","17.9","14","15.4"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 동래구","S020000829","안민초등학교","02","공립","N","","4","89","22.3","4","98","24.5","5","120","24","6","129","21.5","4","97","24.3","6","149","24.8","1","5","5","0","0","0","30","687","22.9","35","19.6"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 동래구","S020000830","여고초등학교","02","공립","N","","5","122","24.4","5","133","26.6","6","185","30.8","7","196","28","6","180","30","7","236","33.7","1","6","6","0","0","0","37","1058","28.6","44","24"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 동래구","S020000831","온천초등학교","02","공립","N","","7","143","20.4","7","161","23","6","131","21.8","7","175","25","6","141","23.5","8","197","24.6","2","12","6","0","0","0","43","960","22.3","53","18.1"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 금정구","S020000832","장서초등학교","02","공립","N","","4","92","23","4","85","21.3","5","117","23.4","5","115","23","4","93","23.3","5","124","24.8","1","7","7","0","0","0","28","633","22.6","35","18.1"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 금정구","S020000833","장전초등학교","02","공립","N","","3","51","17","3","71","23.7","4","97","24.3","3","74","24.7","5","101","20.2","5","104","20.8","1","7","7","0","0","0","24","505","21","29","17.4"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 금정구","S020000834","청룡초등학교","02","공립","N","","3","56","18.7","3","59","19.7","3","72","24","4","78","19.5","4","82","20.5","4","83","20.8","2","11","5.5","0","0","0","23","441","19.2","27","16.3"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 금정구","S020000835","현곡초등학교","02","공립","N","","1","9","9","1","12","12","1","20","20","1","14","14","1","16","16","1","19","19","1","6","6","0","0","0","7","96","13.7","9","10.7"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 동래구","S020000836","혜화초등학교","02","사립","N","","2","60","30","2","60","30","2","61","30.5","2","58","29","2","51","25.5","2","57","28.5","0","0","0","0","0","0","12","347","28.9","12","28.9"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020000989","가남초등학교","02","공립","N","","1","6","6","1","13","13","1","13","13","1","7","7","1","7","7","1","12","12","1","2","2","0","0","0","7","60","8.6","9","6.7"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020000990","가산초등학교","02","공립","N","","0","0","0","1","4","4","1","8","8","1","6","6","1","5","5","1","10","10","1","3","3","0","0","0","6","36","6","8","4.5"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020000991","가야초등학교","02","공립","N","","7","147","21","7","185","26.4","7","165","23.6","7","178","25.4","7","156","22.3","8","195","24.4","2","12","6","0","0","0","45","1038","23.1","55","18.9"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020000992","가평초등학교","02","공립","N","","3","66","22","4","98","24.5","4","102","25.5","4","98","24.5","5","107","21.4","5","108","21.6","1","6","6","0","0","0","26","585","22.5","30","19.5"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020000993","개금초등학교","02","공립","N","","3","72","24","4","86","21.5","5","110","22","6","131","21.8","4","90","22.5","4","86","21.5","1","7","7","0","0","0","27","582","21.6","33","17.6"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020000995","개림초등학교","02","공립","N","","5","110","22","5","121","24.2","6","131","21.8","5","115","23","6","141","23.5","6","138","23","1","7","7","0","0","0","34","763","22.4","38","20.1"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020000996","개원초등학교","02","공립","N","","3","66","22","4","74","18.5","4","80","20","4","90","22.5","4","99","24.8","4","94","23.5","1","6","6","0","0","0","24","509","21.2","29","17.6"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020000997","개포초등학교","02","공립","N","","2","30","15","2","41","20.5","2","47","23.5","2","53","26.5","2","34","17","3","54","18","1","3","3","0","0","0","14","262","18.7","15","17.5"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020000998","개화초등학교","02","공립","N","","1","22","22","1","22","22","2","32","16","2","33","16.5","2","43","21.5","2","35","17.5","1","2","2","0","0","0","11","189","17.2","13","14.5"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 연제구","S020000999","거제초등학교","02","공립","N","","7","154","22","5","126","25.2","6","135","22.5","5","121","24.2","4","89","22.3","6","116","19.3","1","8","8","0","0","0","34","749","22","41","18.3"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 연제구","S020001000","거학초등학교","02","공립","N","","3","66","22","4","96","24","5","104","20.8","5","115","23","4","99","24.8","5","113","22.6","1","6","6","0","0","0","27","599","22.2","32","18.7"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 연제구","S020001001","과정초등학교","02","공립","N","","3","65","21.7","4","87","21.8","4","76","19","4","92","23","3","74","24.7","3","68","22.7","1","6","6","0","0","0","22","468","21.3","26","18"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 연제구","S020001002","남문초등학교","02","공립","N","","4","109","27.3","6","157","26.2","7","186","26.6","6","153","25.5","8","208","26","8","203","25.4","1","6","6","0","0","0","40","1022","25.6","48","21.3"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020001003","당감초등학교","02","공립","N","","1","24","24","1","16","16","2","33","16.5","2","37","18.5","2","43","21.5","3","58","19.3","1","3","3","0","0","0","12","214","17.8","14","15.3"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020001004","당평초등학교","02","공립","N","","2","35","17.5","2","30","15","2","47","23.5","2","46","23","2","41","20.5","3","70","23.3","2","9","4.5","0","0","0","15","278","18.5","16","17.4"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 연제구","S020001005","동명초등학교","02","공립","N","","2","21","10.5","2","25","12.5","2","26","13","2","34","17","2","30","15","2","37","18.5","2","7","3.5","0","0","0","14","180","12.9","16","11.3"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020001006","동성초등학교","02","사립","N","","4","112","28","4","113","28.3","4","128","32","4","127","31.8","4","123","30.8","4","119","29.8","0","0","0","0","0","0","24","722","30.1","25","28.9"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020001007","동원초등학교","02","공립","N","","3","66","22","4","79","19.8","4","94","23.5","4","91","22.8","4","97","24.3","6","123","20.5","1","5","5","0","0","0","26","555","21.3","30","18.5"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020001008","동평초등학교","02","공립","N","","4","79","19.8","4","90","22.5","4","82","20.5","4","83","20.8","4","68","17","5","85","17","1","6","6","0","0","0","26","493","19","30","16.4"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020001010","부산진초등학교","02","공립","N","","4","79","19.8","4","85","21.3","4","74","18.5","3","69","23","3","74","24.7","4","82","20.5","2","9","4.5","0","0","0","24","472","19.7","29","16.3"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020001011","부암초등학교","02","공립","N","","6","116","19.3","6","125","20.8","5","114","22.8","6","132","22","5","114","22.8","5","111","22.2","2","12","6","0","0","0","35","724","20.7","41","17.7"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020001012","부전초등학교","02","공립","N","","3","57","19","3","65","21.7","3","58","19.3","3","65","21.7","3","51","17","3","55","18.3","1","6","6","0","0","0","19","357","18.8","22","16.2"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020001013","선암초등학교","02","공립","N","","2","25","12.5","2","24","12","1","17","17","1","13","13","1","12","12","1","16","16","1","6","6","0","0","0","9","113","12.6","12","9.4"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020001014","성북초등학교","02","공립","N","","5","116","23.2","5","109","21.8","6","126","21","4","103","25.8","5","106","21.2","5","109","21.8","2","12","6","0","0","0","32","681","21.3","42","16.2"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020001015","성서초등학교","02","공립","N","","2","32","16","2","28","14","2","25","12.5","2","33","16.5","2","31","15.5","2","38","19","1","6","6","0","0","0","13","193","14.8","15","12.9"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020001016","성전초등학교","02","공립","N","","3","68","22.7","4","77","19.3","3","71","23.7","3","71","23.7","4","71","17.8","4","75","18.8","1","7","7","0","0","0","22","440","20","25","17.6"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020001017","성지초등학교","02","공립","N","","3","55","18.3","4","91","22.8","4","76","19","4","98","24.5","4","79","19.8","4","73","18.3","2","11","5.5","0","0","0","25","483","19.3","28","17.3"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020001018","양동초등학교","02","공립","N","","8","179","22.4","8","210","26.3","7","162","23.1","7","161","23","4","93","23.3","4","106","26.5","2","13","6.5","0","0","0","40","924","23.1","45","20.5"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020001019","양성초등학교","02","공립","N","","3","50","16.7","3","47","15.7","3","56","18.7","3","69","23","3","71","23.7","4","89","22.3","2","7","3.5","0","0","0","21","389","18.5","24","16.2"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020001020","양정초등학교","02","공립","N","","4","78","19.5","4","93","23.3","5","111","22.2","6","116","19.3","4","89","22.3","5","110","22","2","11","5.5","0","0","0","30","608","20.3","40","15.2"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 연제구","S020001021","연동초등학교","02","공립","N","","4","66","16.5","4","72","18","5","94","18.8","4","76","19","5","104","20.8","5","107","21.4","1","5","5","0","0","0","28","524","18.7","33","15.9"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 연제구","S020001022","연미초등학교","02","공립","N","","3","51","17","3","60","20","3","51","17","2","43","21.5","2","32","16","2","43","21.5","1","6","6","0","0","0","16","286","17.9","18","15.9"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 연제구","S020001023","연산초등학교","02","공립","N","","5","128","25.6","7","154","22","6","150","25","6","130","21.7","6","135","22.5","7","146","20.9","2","12","6","0","0","0","39","855","21.9","47","18.2"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 연제구","S020001024","연서초등학교","02","공립","N","","4","89","22.3","5","107","21.4","5","113","22.6","6","131","21.8","5","117","23.4","5","109","21.8","1","6","6","0","0","0","31","672","21.7","37","18.2"
